Well,count,mean,std,min,25%,50%,75%,max,95% CI lower,95% CI upper,IQR,Treatment
E16,1512.0,0.4693117140543251,0.12643700512882267,0.0315236114252969,0.4302950226704678,0.515692298824197,0.5400516376125728,0.9067555105800208,0.4629385605938116,0.47568486751483857,0.10975661494210498,Treated
E17,1238.0,0.4780852311123619,0.12285490389826517,0.04288943594594798,0.44574414582421085,0.5238807653261821,0.5455308942571075,0.9131172603184311,0.4712415739434666,0.4849288882812572,0.0997867484328967,Neutral Control
E18,632.0,0.5591977056431472,0.0962395194051206,0.11662984912535014,0.5342125334286093,0.5567996624274383,0.5992189688015175,0.8881513249988005,0.5516944286756923,0.5667009826106021,0.06500643537290818,Stimulator Control
E20,644.0,0.5274790340265558,0.08561596934873433,0.043044437268932756,0.5192153278190706,0.544084944178254,0.5628215763734734,0.9297928419449759,0.5208665000609253,0.5340915679921864,0.04360624855440276,Treated
E22,844.0,0.48821654647370183,0.13975799250175905,0.040958783503843514,0.44880162986247135,0.5327665969649447,0.5577791167577042,0.9301931122963524,0.4787876362252236,0.4976454567221801,0.10897748689523284,Treated
F02,108.0,0.549801067285566,0.07600491624648686,0.30307017278278264,0.5170227828171657,0.5487623923872824,0.5740769180020375,0.7749736993361449,0.5354664573930489,0.5641356771780831,0.05705413518487179,Treated
F04,1365.0,0.46109124217601716,0.13624844945741077,0.037594402904058646,0.4094385126956394,0.5141989064755981,0.54817281574347,0.8054463131502424,0.4538631894110457,0.4683192949409886,0.13873430304783058,Treated
F06,1194.0,0.48426495902488803,0.12358966825018061,0.01729394011584827,0.4573890873089033,0.5293570069888873,0.5537741458741126,0.8546403080580168,0.4772546675672803,0.49127525048249576,0.09638505856520924,Treated
G13,1386.0,0.4819952862591874,0.11759100465563278,0.0305676854827329,0.45498548457481974,0.5255860694301102,0.5468536148852299,0.9119559121530133,0.47580446084078487,0.48818611167758996,0.09186813031041013,Negative Control
G18,277.0,0.5576879171109647,0.100925436239622,0.13284206147235791,0.5364283058427953,0.5608597419219965,0.5954175325911849,0.795165103354054,0.5458024344693784,0.569573399752551,0.05898922674838958,Treated
G20,1600.0,0.47243945766519496,0.12517609033413613,0.047559594875477916,0.4343433123323909,0.5225028667964999,0.5467086811891927,0.8816228726497538,0.4663058292388223,0.4785730860915676,0.11236536885680182,Treated
G22,1475.0,0.4708814678114406,0.13377838498149308,0.021480381487178502,0.4476115663922734,0.5213018976872554,0.5467228563986442,0.7827865415473273,0.4640542146080631,0.47770872101481804,0.09911129000637076,Treated
H02,1193.0,0.4636585137424805,0.15045381009001357,0.021983803610296924,0.40968280309743094,0.5164893142053889,0.5532142508055811,0.9513237559185871,0.45512085012247283,0.4721961773624882,0.14353144770815013,Treated
H03,1289.0,0.4770395713468007,0.13312245773648407,0.03145690562129999,0.4510878725325509,0.525293365855862,0.5528000302438515,0.9291354573129834,0.4697721399677514,0.48430700272585,0.1017121577113006,Negative Control
H04,1276.0,0.4876426063436554,0.12177018508068883,0.04226891839597917,0.4588531758672303,0.53224453173277,0.5567266141046195,0.8644157183759225,0.4809611413045856,0.4943240713827252,0.09787343823738925,Neutral Control
H05,652.0,0.5433864930557887,0.11317363776847618,0.030400806005749813,0.5264542676849361,0.5547182507066994,0.5824694450655479,0.9364143776804644,0.5346993384801483,0.5520736476314291,0.05601517738061179,Stimulator Control
H06,672.0,0.44396290685083056,0.16862890398604224,0.02610292662401424,0.3519028384679288,0.5171691848784143,0.5533114138621177,0.8459184753039634,0.43121310450594424,0.4567127091957169,0.20140857539418888,Treated
H08,1047.0,0.4459730415084327,0.16623946724750088,0.028298380569709715,0.3761757678375547,0.5124746621162636,0.5482398349585127,0.9267429790820545,0.43590333369830037,0.45604274931856503,0.172064067120958,Treated
H10,1448.0,0.48124970869981193,0.12086225279549977,0.030161613310274123,0.4563437027876557,0.5256491815215972,0.547671774744685,0.8636510617108535,0.47502437730380237,0.4874750400958215,0.0913280719570293,Treated
H12,1371.0,0.46916829595341486,0.12923554670144433,0.0401997667818618,0.4303490931744906,0.5187114428181762,0.5458201160419529,0.9154560292391052,0.4623273000822449,0.47600929182458485,0.1154710228674623,Neutral Control
H13,650.0,0.5556899378971509,0.103517258054202,0.1106904003664327,0.5332895478358136,0.5552865627548564,0.5881581272121992,0.9192812864598957,0.5477317873058316,0.5636480884884703,0.05486857937638556,Stimulator Control
H14,1270.0,0.4732434628580829,0.12563173736459732,0.04779552707207223,0.44032584882540743,0.5220308501910422,0.547783871508877,0.7352689481451732,0.4663338521988393,0.48015307351732645,0.10745802268346955,Treated
H16,1299.0,0.4860755170523887,0.12060745118507595,0.03324056845441631,0.4524259422450599,0.5249740747952639,0.5517894331858739,0.9350627972747767,0.4795166982142708,0.49263433589050665,0.09936349094081404,Treated
H18,68.0,0.5336312116257099,0.11092047014690663,0.04941764729564664,0.5357808369022621,0.5556902036899938,0.5673109065592737,0.8444318644708225,0.5072670893804341,0.5599953338709858,0.03153006965701166,Treated
H20,1368.0,0.4879202425834333,0.11226052750831404,0.06352673747763822,0.46680231456960924,0.5271566049636578,0.5489869283989148,0.8157981508139175,0.4819712955623993,0.4938691896044673,0.08218461382930559,Neutral Control
H21,658.0,0.5605452114045328,0.09735527235117998,0.13927789857527703,0.5363637853953573,0.5624534196810712,0.5928256473426039,0.8669086183758129,0.5531064162313043,0.5679840065777614,0.05646186194724656,Stimulator Control
H22,1383.0,0.4808641003730603,0.12025718579966317,0.036850893569257845,0.4565663381762157,0.5260638297874137,0.5482806641338202,0.9243479440350171,0.47452604516559765,0.487202155580523,0.09171432595760443,Treated
I02,1109.0,0.48453125715160406,0.12965934444636007,0.03341292545234337,0.45223149534862017,0.5322743465588273,0.5578663254155463,0.856680827926108,0.47690003458985997,0.49216247971334814,0.10563483006692609,Treated
I04,988.0,0.5137227316102716,0.11751196617003448,0.017628478465428504,0.5060350889268679,0.5450970288544252,0.5633592158645752,0.8945753441561187,0.5063951664032225,0.5210502968173207,0.057324126937707276,Treated
I06,1235.0,0.48551428004731606,0.12369970558344334,0.0596536067093908,0.46049852042584427,0.5282486675069109,0.550735911162217,0.9214421165189911,0.47861519881485426,0.49241336127977786,0.09023739073637271,Treated
I08,1197.0,0.5068186970433306,0.11205485238696976,0.0367803652280965,0.4877636407446229,0.5417029300841935,0.563796863890842,0.9068779852099054,0.500470656906962,0.5131667371796992,0.07603322314621913,Treated
I11,1297.0,0.4823726464673671,0.11989201363189761,0.06771912475422713,0.4448080403690513,0.5264959645276416,0.5499978341729596,0.9452704228060925,0.4758477092433345,0.4888975836913997,0.10518979380390825,Negative Control
I15,1372.0,0.48801204612844096,0.11824643841323598,0.03161922813273472,0.4627618939348378,0.5287231987125922,0.5520595038589223,0.8781913246540272,0.4817550327392302,0.4942690595176517,0.08929760992408453,Negative Control
I18,1154.0,0.49395074822561474,0.11361071920019444,0.06918190733568697,0.47042777009610864,0.5318534976131961,0.5520978231047659,0.9014750681176985,0.4873957515458205,0.500505744905409,0.0816700530086572,Negative Control
L07,1330.0,0.4769055452578902,0.12418108741272878,0.04300896530662031,0.44991224912571093,0.5242065847442576,0.5486712202128811,0.8098157079055036,0.4702315528332107,0.48357953768256967,0.09875897108717013,Neutral Control
L08,606.0,0.5790755193318318,0.10824586297315317,0.014807516979945213,0.5432452114535726,0.5693353717754281,0.6258161769204742,0.9501181891195288,0.5704570316268917,0.5876940070367719,0.08257096546690157,Stimulator Control
L17,1486.0,0.46692078759034233,0.1289216559940689,0.02497563522303707,0.42944248638235516,0.5154415046817028,0.5430667058856395,0.826272425057679,0.46036578991486327,0.4734757852658214,0.11362421950328438,Neutral Control
L18,563.0,0.5407320092459165,0.12293512342041697,0.046220505359785766,0.5238175937205447,0.5547534409796495,0.5941566515608093,0.8552900636353444,0.5305770577004397,0.5508869607913932,0.07033905784026462,Stimulator Control
N03,1196.0,0.48079141149007376,0.13106531392104248,0.036715503946601113,0.45331232650273423,0.5298974998055359,0.556438014184505,0.7715486896188667,0.47336330273594235,0.4882195202442052,0.10312568768177077,Negative Control
N08,1193.0,0.4983270888468908,0.11042979029238827,0.04079220675008935,0.47707832281510826,0.5358151970518753,0.5568972733920479,0.8379284067184933,0.4920606313701388,0.5045935463236428,0.0798189505769396,Negative Control
N09,1260.0,0.4809433960768945,0.12091462663713572,0.023099479946790954,0.4398902192417516,0.5278871693652684,0.5524325679542244,0.8347925017317448,0.47426688401435724,0.4876199081394318,0.11254234871247276,Negative Control
N12,1326.0,0.4831004840034272,0.11897336254555016,0.05552825339429262,0.45312388514115115,0.5258554354873781,0.552069758904733,0.9327587290639154,0.4766967387710308,0.4895042292358236,0.09894587376358183,Neutral Control
N13,531.0,0.5510926667326747,0.10729832585211588,0.042039760255459205,0.5278510341477543,0.5535713413062404,0.5853419475924123,0.9144304298924391,0.5419662193000763,0.560219114165273,0.057490913444658065,Stimulator Control
O02,1299.0,0.47566870398451544,0.13081514254145393,0.029116739992857837,0.4409819492435691,0.5240951911480914,0.554360838306897,0.842141279886035,0.4685547751784473,0.4827826327905836,0.11337888906332788,Neutral Control
O03,613.0,0.5771451714083016,0.10452137149005282,0.13601604094886563,0.5387206358129557,0.5684517598121912,0.6305002974965367,0.9345135532336923,0.568870877679424,0.5854194651371791,0.09177966168358098,Stimulator Control
O22,1317.0,0.4777530143932141,0.13310743676367687,0.03999768119225895,0.43269910112847193,0.5291803988716871,0.5567407688258946,0.7774482564068447,0.47056406371163045,0.48494196507479775,0.1240416676974227,Neutral Control
O23,827.0,0.5535762115980332,0.11852165551210081,0.09621501431667805,0.521611782486278,0.5563956704679005,0.6017060098097137,0.9338279529672757,0.5454982641096615,0.5616541590864048,0.08009422732343563,Stimulator Control
